Temp: 26.70 °C | Humidity: 68.40 % | Light: 660 | Fan Status: OFF
Temp: 26.70 °C | Humidity: 68.40 % | Light: 660 | Fan Status: OFF
Temp: 26.70 °C | Humidity: 68.30 % | Light: 660 | Fan Status: OFF
Temp: 26.70 °C | Humidity: 68.30 % | Light: 651 | Fan Status: OFF
Temp: 26.70 °C | Humidity: 69.90 % | Light: 659 | Fan Status: OFF
Temp: 26.70 °C | Humidity: 73.60 % | Light: 660 | Fan Status: OFF
Temp: 26.90 °C | Humidity: 83.10 % | Light: 660 | Fan Status: OFF
Temp: 27.50 °C | Humidity: 98.50 % | Light: 659 | Fan Status: OFF
Temp: 27.70 °C | Humidity: 99.90 % | Light: 660 | Fan Status: OFF
Temp: 27.80 °C | Humidity: 99.90 % | Light: 659 | Fan Status: OFF
Temp: 28.60 °C | Humidity: 99.90 % | Light: 659 | Fan Status: OFF
Temp: 28.70 °C | Humidity: 99.90 % | Light: 659 | Fan Status: OFF
Temp: 28.90 °C | Humidity: 99.90 % | Light: 659 | Fan Status: OFF
Temp: 29.30 °C | Humidity: 99.90 % | Light: 659 | Fan Status: OFF
Temp: 29.70 °C | Humidity: 99.90 % | Light: 659 | Fan Status: OFF
Temp: 30.00 °C | Humidity: 99.90 % | Light: 659 | Fan Status: OFF
Temp: 30.50 °C | Humidity: 99.90 % | Light: 659 | Fan Status: ON
Temp: 30.80 °C | Humidity: 99.90 % | Light: 661 | Fan Status: ON
Temp: 31.00 °C | Humidity: 99.90 % | Light: 661 | Fan Status: ON
Temp: 31.10 °C | Humidity: 99.90 % | Light: 660 | Fan Status: ON
Temp: 31.20 °C | Humidity: 99.90 % | Light: 661 | Fan Status: ON
Temp: 31.20 °C | Humidity: 99.90 % | Light: 661 | Fan Status: ON
Temp: 31.30 °C | Humidity: 99.90 % | Light: 662 | Fan Status: ON
Temp: 31.20 °C | Humidity: 99.90 % | Light: 661 | Fan Status: ON
Temp: 31.00 °C | Humidity: 99.90 % | Light: 661 | Fan Status: ON
Temp: 30.80 °C | Humidity: 99.90 % | Light: 661 | Fan Status: ON
Temp: 30.60 °C | Humidity: 99.90 % | Light: 661 | Fan Status: ON
Temp: 30.40 °C | Humidity: 99.90 % | Light: 660 | Fan Status: ON
Temp: 30.20 °C | Humidity: 99.90 % | Light: 657 | Fan Status: ON
Temp: 30.10 °C | Humidity: 99.90 % | Light: 655 | Fan Status: ON
Temp: 29.80 °C | Humidity: 99.80 % | Light: 656 | Fan Status: OFF
Temp: 29.40 °C | Humidity: 90.20 % | Light: 656 | Fan Status: OFF
Temp: 29.40 °C | Humidity: 91.40 % | Light: 659 | Fan Status: OFF
Temp: 29.20 °C | Humidity: 89.70 % | Light: 661 | Fan Status: OFF
Temp: 29.20 °C | Humidity: 87.90 % | Light: 661 | Fan Status: OFF
Failed to read from DHT22 sensor!
Temp: 29.00 °C | Humidity: 84.00 % | Light: 640 | Fan Status: OFF
Temp: 29.00 °C | Humidity: 82.70 % | Light: 642 | Fan Status: OFF
Temp: 29.00 °C | Humidity: 79.60 % | Light: 637 | Fan Status: OFF
Temp: 28.90 °C | Humidity: 77.90 % | Light: 636 | Fan Status: OFF
Temp: 28.90 °C | Humidity: 75.80 % | Light: 636 | Fan Status: OFF
Temp: 28.90 °C | Humidity: 74.50 % | Light: 640 | Fan Status: OFF
Temp: 28.80 °C | Humidity: 73.70 % | Light: 640 | Fan Status: OFF
Temp: 28.80 °C | Humidity: 73.50 % | Light: 641 | Fan Status: OFF
Temp: 28.80 °C | Humidity: 72.70 % | Light: 641 | Fan Status: OFF
Temp: 28.70 °C | Humidity: 72.00 % | Light: 641 | Fan Status: OFF
Temp: 28.70 °C | Humidity: 71.20 % | Light: 643 | Fan Status: OFF
Temp: 28.70 °C | Humidity: 69.70 % | Light: 642 | Fan Status: OFF
Temp: 28.70 °C | Humidity: 74.80 % | Light: 643 | Fan Status: OFF
Temp: 28.80 °C | Humidity: 89.10 % | Light: 643 | Fan Status: OFF
Temp: 28.70 °C | Humidity: 94.40 % | Light: 644 | Fan Status: OFF
Temp: 29.20 °C | Humidity: 99.90 % | Light: 644 | Fan Status: OFF
Temp: 29.40 °C | Humidity: 99.90 % | Light: 644 | Fan Status: OFF
Temp: 30.30 °C | Humidity: 99.90 % | Light: 644 | Fan Status: ON
Temp: 31.00 °C | Humidity: 99.90 % | Light: 644 | Fan Status: ON
Temp: 31.50 °C | Humidity: 99.90 % | Light: 644 | Fan Status: ON
Temp: 31.60 °C | Humidity: 99.90 % | Light: 644 | Fan Status: ON
Temp: 31.70 °C | Humidity: 99.90 % | Light: 643 | Fan Status: ON
Temp: 31.80 °C | Humidity: 99.90 % | Light: 642 | Fan Status: ON
Temp: 31.40 °C | Humidity: 99.90 % | Light: 642 | Fan Status: ON
Temp: 30.50 °C | Humidity: 99.90 % | Light: 643 | Fan Status: ON
Temp: 29.90 °C | Humidity: 99.90 % | Light: 643 | Fan Status: OFF
Temp: 29.40 °C | Humidity: 99.90 % | Light: 643 | Fan Status: OFF
Temp: 29.30 °C | Humidity: 99.90 % | Light: 640 | Fan Status: OFF
Temp: 29.20 °C | Humidity: 99.90 % | Light: 640 | Fan Status: OFF
Temp: 30.00 °C | Humidity: 99.90 % | Light: 641 | Fan Status: OFF
Temp: 30.80 °C | Humidity: 99.90 % | Light: 640 | Fan Status: ON
Temp: 31.30 °C | Humidity: 99.90 % | Light: 641 | Fan Status: ON
Temp: 31.40 °C | Humidity: 99.90 % | Light: 641 | Fan Status: ON
Temp: 31.50 °C | Humidity: 99.90 % | Light: 641 | Fan Status: ON
Temp: 31.50 °C | Humidity: 99.90 % | Light: 642 | Fan Status: ON
Temp: 31.40 °C | Humidity: 99.90 % | Light: 641 | Fan Status: ON
Temp: 31.10 °C | Humidity: 99.90 % | Light: 626 | Fan Status: ON
Temp: 30.80 °C | Humidity: 99.90 % | Light: 595 | Fan Status: ON
Temp: 30.50 °C | Humidity: 99.90 % | Light: 638 | Fan Status: ON
Temp: 30.20 °C | Humidity: 99.90 % | Light: 638 | Fan Status: ON
Temp: 29.80 °C | Humidity: 99.90 % | Light: 638 | Fan Status: OFF
Temp: 29.60 °C | Humidity: 99.90 % | Light: 639 | Fan Status: OFF
Temp: 29.40 °C | Humidity: 99.90 % | Light: 642 | Fan Status: OFF
