□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□Temp: 29.20 C | Humidity: 56.30 % | Light: 733
Temp: 29.20 C | Humidity: 57.30 % | Light: 761
Temp: 29.20 C | Humidity: 57.40 % | Light: 744
Temp: 29.20 C | Humidity: 57.00 % | Light: 735
Temp: 29.20 C | Humidity: 56.50 % | Light: 712
Temp: 29.20 C | Humidity: 59.00 % | Light: 273
Temp: 29.20 C | Humidity: 60.10 % | Light: 277
Temp: 29.20 C | Humidity: 58.80 % | Light: 323
Temp: 29.30 C | Humidity: 57.60 % | Light: 752
Temp: 29.20 C | Humidity: 56.70 % | Light: 760
Temp: 29.20 C | Humidity: 56.20 % | Light: 751
Temp: 29.20 C | Humidity: 55.90 % | Light: 691
Temp: 29.20 C | Humidity: 56.20 % | Light: 704
Temp: 29.20 C | Humidity: 56.50 % | Light: 708
Temp: 29.20 C | Humidity: 56.40 % | Light: 708
Temp: 29.20 C | Humidity: 57.00 % | Light: 704
Temp: 29.20 C | Humidity: 56.40 % | Light: 706
Temp: 29.20 C | Humidity: 56.30 % | Light: 703
Temp: 29.20 C | Humidity: 56.50 % | Light: 703
Temp: 29.20 C | Humidity: 56.70 % | Light: 704
Temp: 29.20 C | Humidity: 57.40 % | Light: 703
Temp: 29.20 C | Humidity: 56.60 % | Light: 703
Temp: 29.20 C | Humidity: 56.90 % | Light: 707
Temp: 29.20 C | Humidity: 57.00 % | Light: 734
Temp: 29.20 C | Humidity: 58.00 % | Light: 697
Temp: 29.20 C | Humidity: 57.80 % | Light: 699
Temp: 29.20 C | Humidity: 57.90 % | Light: 667
Temp: 29.20 C | Humidity: 57.70 % | Light: 703
Temp: 29.20 C | Humidity: 57.90 % | Light: 646
Temp: 29.20 C | Humidity: 57.70 % | Light: 639
Temp: 29.20 C | Humidity: 58.00 % | Light: 639
Temp: 29.20 C | Humidity: 58.10 % | Light: 641
